"DATE"|"CODE"|"STATION"|"SHORT_WAVE_FROM_SKY (W/m2 min)"|"SHORT_WAVE_REFLECTED(W/m2 min)"|"SHORT_WAVE_GLOBAL (W/m2 min)"|"IR_FROM_SKY_AVG (W/m2 min)"|"IR_FROM_EARTH_AVG (W/m2 min)"|"NET_RADIATION_AVG (W/m2 min)"
"2023:06:01 00:00"|"6434"|"MELLE"|0|0||293.7|366|-76.6
"2023:06:01 00:10"|"6434"|"MELLE"|0|0||293.6|365.9|-76.6
"2023:06:01 00:20"|"6434"|"MELLE"|0|0||293.5|365.9|-76.7
"2023:06:01 00:30"|"6434"|"MELLE"|0|0||292.9|365.1|-76.5
"2023:06:01 00:40"|"6434"|"MELLE"|0|0||292.5|362.7|-74.6
"2023:06:01 00:50"|"6434"|"MELLE"|0|0||292.2|361.9|-74.2
"2023:06:01 01:00"|"6434"|"MELLE"|0|0||291.8|362.9|-75.3
"2023:06:01 01:10"|"6434"|"MELLE"|0|0||291.5|362.2|-75.1
"2023:06:01 01:20"|"6434"|"MELLE"|0|0||291.3|361.1|-74.2
"2023:06:01 01:30"|"6434"|"MELLE"|0|0||290.7|360.4|-74
"2023:06:01 01:40"|"6434"|"MELLE"|0|0||290.5|359.3|-73.3
"2023:06:01 01:50"|"6434"|"MELLE"|0|0||290|359|-73.2
"2023:06:01 02:00"|"6434"|"MELLE"|0|0||289.8|358.8|-73.2
"2023:06:01 02:10"|"6434"|"MELLE"|0|0||289.3|358.5|-73.5
"2023:06:01 02:20"|"6434"|"MELLE"|0|0||289|358.1|-73.4
"2023:06:01 02:30"|"6434"|"MELLE"|0|0||288.6|357.8|-73.5
"2023:06:01 02:40"|"6434"|"MELLE"|0|0||289.2|358.5|-73.4
"2023:06:01 02:50"|"6434"|"MELLE"|0|0||294|359.5|-69.4
"2023:06:01 03:00"|"6434"|"MELLE"|0|0||305.4|360.6|-58.4
"2023:06:01 03:10"|"6434"|"MELLE"|0|0||297.4|360.5|-66.3
"2023:06:01 03:20"|"6434"|"MELLE"|0|0||293.9|359|-68.4
"2023:06:01 03:30"|"6434"|"MELLE"|0|0||289.3|358.5|-71.7
"2023:06:01 03:40"|"6434"|"MELLE"|0|0||286.8|357.7|-71.5
"2023:06:01 03:50"|"6434"|"MELLE"|0|0||286.5|356.8|-68
"2023:06:01 04:00"|"6434"|"MELLE"|5.4|0||291.3|357.2|-58.7
